LastReportDate,Sex,NZAgeGroup,Cases
2021-10-22,,20-34,2
2021-10-24,Female,5-19,536
2021-10-24,Female,<1,26
2021-10-24,Male,20-34,958
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-22,Female,65-79,123
2021-10-24,Male,35-49,638
2021-10-24,Male,1-4,124
2021-10-25,Male,5-19,501
2021-10-24,Female,20-34,990
2021-10-24,Female,50-64,417
2021-10-24,Female,35-49,572
2021-10-23,Female,>=80,30
2021-10-24,Male,<1,42
2021-07-06,Unknown,35-49,2
2021-10-24,Male,65-79,163
2021-10-24,Female,1-4,131
2021-10-24,Male,50-64,471
