LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-16,Female,5-19,457
2021-10-15,Female,<1,17
2021-10-17,Male,20-34,833
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-15,Female,65-79,113
2021-10-16,Male,35-49,544
2021-10-15,Male,1-4,100
2021-10-16,,50-64,1
2021-10-16,Male,5-19,423
2021-10-17,Female,20-34,864
2021-10-17,Female,50-64,377
2021-10-17,Female,35-49,490
2021-10-13,Female,>=80,27
2021-10-15,Male,<1,31
2021-07-06,Unknown,35-49,2
2021-10-15,Female,1-4,107
2021-10-16,Male,65-79,150
2021-10-16,Male,50-64,431
