LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-20,Female,5-19,500
2021-10-18,Female,<1,19
2021-10-21,Male,20-34,884
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-21,Female,65-79,119
2021-10-20,Male,35-49,583
2021-10-20,Male,1-4,110
2021-10-20,Male,5-19,457
2021-10-20,Female,20-34,919
2021-10-20,Female,50-64,391
2021-10-21,Female,35-49,526
2021-10-13,Female,>=80,27
2021-10-17,Male,<1,34
2021-07-06,Unknown,35-49,2
2021-10-20,Male,65-79,157
2021-10-20,Female,1-4,118
2021-10-20,Male,50-64,445
