LastReportDate,Sex,NZAgeGroup,Cases
2021-10-22,,20-34,2
2021-10-22,Female,5-19,520
2021-10-22,Female,<1,21
2021-10-23,Male,20-34,928
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-22,Female,65-79,123
2021-10-22,Male,35-49,616
2021-10-22,Male,1-4,119
2021-10-22,Male,5-19,482
2021-10-22,Female,20-34,955
2021-10-22,Female,50-64,403
2021-10-22,Female,35-49,548
2021-10-21,Female,>=80,28
2021-10-22,Male,<1,39
2021-07-06,Unknown,35-49,2
2021-10-22,Male,65-79,162
2021-10-22,Female,1-4,124
2021-10-22,Male,50-64,460
