LastReportDate,Sex,NZAgeGroup,Cases
2021-12-05,Female,<1,94
2021-12-05,Male,<1,112
2021-12-03,Female,>=80,58
2021-11-25,Male,>=80,33
2021-12-05,Female,1-4,412
2021-12-05,Male,1-4,395
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-06,Female,20-34,2014
2021-12-06,Male,20-34,1961
2021-12-02,Unknown,20-34,12
2021-12-05,Female,35-49,1148
2021-12-06,Male,35-49,1245
2021-11-25,Unknown,35-49,4
2021-12-06,Female,5-19,1391
2021-12-06,Male,5-19,1407
2021-12-01,Unknown,5-19,5
2021-12-06,Female,50-64,750
2021-12-06,Male,50-64,804
2021-11-24,Unknown,50-64,1
2021-12-05,Female,65-79,218
2021-12-05,Male,65-79,261
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
