LastReportDate,Sex,NZAgeGroup,Cases
2021-11-27,Female,<1,82
2021-11-27,Male,<1,98
2021-11-25,Female,>=80,55
2021-11-25,Male,>=80,33
2021-11-27,Female,1-4,368
2021-11-28,Male,1-4,349
2021-11-14,Unknown,1-4,2
2021-11-16,,20-34,2
2021-11-27,Female,20-34,1856
2021-11-27,Male,20-34,1788
2021-11-19,Unknown,20-34,10
2021-11-27,Female,35-49,1069
2021-11-27,Male,35-49,1151
2021-11-25,Unknown,35-49,4
2021-11-27,Female,5-19,1224
2021-11-27,Male,5-19,1253
2021-11-26,Unknown,5-19,4
2021-11-27,Female,50-64,708
2021-11-28,Male,50-64,755
2021-11-24,Unknown,50-64,1
2021-11-26,Female,65-79,204
2021-11-27,Male,65-79,241
2021-11-26,,Unknown,3
2021-11-18,Unknown,Unknown,1
