LastReportDate,Sex,NZAgeGroup,Cases
2021-12-12,Female,<1,103
2021-12-12,Male,<1,119
2021-12-12,Female,>=80,61
2021-12-10,Male,>=80,36
2021-12-12,Female,1-4,435
2021-12-13,Male,1-4,427
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-12,Female,20-34,2114
2021-12-13,Male,20-34,2050
2021-12-08,Unknown,20-34,12
2021-12-12,Female,35-49,1196
2021-12-12,Male,35-49,1311
2021-11-25,Unknown,35-49,4
2021-12-12,Female,5-19,1484
2021-12-12,Male,5-19,1499
2021-12-01,Unknown,5-19,5
2021-12-13,Female,50-64,783
2021-12-12,Male,50-64,843
2021-11-24,Unknown,50-64,1
2021-12-12,Female,65-79,231
2021-12-10,Male,65-79,266
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
