LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-10,Unknown,20-34,5
2021-11-11,Female,5-19,809
2021-11-10,Female,<1,41
2021-11-11,Male,20-34,1318
2021-11-06,Male,>=80,28
2021-10-06,Unknown,5-19,1
2021-11-10,Female,65-79,154
2021-11-11,Male,35-49,896
2021-11-10,Male,1-4,200
2021-11-10,Male,5-19,778
2021-11-10,Female,20-34,1349
2021-11-10,Female,50-64,567
2021-11-11,Female,35-49,806
2021-11-09,Female,>=80,47
2021-11-10,Male,<1,61
2021-07-06,Unknown,35-49,2
2021-11-10,Male,65-79,199
2021-11-10,Female,1-4,213
2021-11-10,Male,50-64,632
