LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-28,Female,5-19,576
2021-10-28,Female,<1,28
2021-10-28,Male,20-34,1023
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-25,Female,65-79,124
2021-10-28,Male,35-49,679
2021-10-28,Male,1-4,135
2021-10-28,,50-64,1
2021-10-28,Male,5-19,542
2021-10-28,Female,20-34,1042
2021-10-28,Female,50-64,441
2021-10-28,Female,35-49,610
2021-10-28,Female,>=80,33
2021-10-28,Male,<1,45
2021-07-06,Unknown,35-49,2
2021-10-28,Male,65-79,169
2021-10-28,Female,1-4,143
2021-10-29,,Unknown,1
2021-10-29,Male,50-64,506
