LastReportDate,Sex,NZAgeGroup,Cases
2021-12-07,Female,<1,97
2021-12-07,Male,<1,114
2021-12-07,Female,>=80,59
2021-11-25,Male,>=80,33
2021-12-07,Female,1-4,416
2021-12-07,Male,1-4,409
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-08,Female,20-34,2038
2021-12-08,Male,20-34,1989
2021-12-02,Unknown,20-34,12
2021-12-07,Female,35-49,1164
2021-12-07,Male,35-49,1261
2021-11-25,Unknown,35-49,4
2021-12-08,Female,5-19,1426
2021-12-07,Male,5-19,1428
2021-12-01,Unknown,5-19,5
2021-12-07,Female,50-64,758
2021-12-07,Male,50-64,813
2021-11-24,Unknown,50-64,1
2021-12-07,Female,65-79,221
2021-12-06,Male,65-79,262
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
