LastReportDate,Sex,NZAgeGroup,Cases
2021-10-10,Female,5-19,433
2021-10-09,Female,<1,15
2021-10-10,Male,20-34,793
2021-04-06,Male,>=80,21
2021-10-06,Unknown,5-19,1
2021-10-10,Female,65-79,111
2021-10-10,Male,35-49,498
2021-10-09,Male,1-4,83
2021-10-06,,50-64,1
2021-10-10,Male,5-19,386
2021-10-11,Female,20-34,804
2021-10-10,Female,50-64,363
2021-10-10,Female,35-49,448
2021-10-09,Female,>=80,26
2021-10-05,Male,<1,29
2021-07-06,Unknown,35-49,2
2021-10-05,Male,65-79,145
2021-10-10,Female,1-4,94
2021-10-11,Male,50-64,406
