LastReportDate,Sex,NZAgeGroup,Cases
2021-11-12,,20-34,2
2021-11-13,Unknown,20-34,8
2021-11-13,Female,5-19,880
2021-11-13,Female,<1,43
2021-11-14,Male,20-34,1411
2021-11-13,Male,>=80,30
2021-10-06,Unknown,5-19,1
2021-11-13,Female,65-79,170
2021-11-13,Male,35-49,954
2021-11-13,Male,1-4,223
2021-11-14,Male,5-19,870
2021-11-14,Female,20-34,1449
2021-11-13,Female,50-64,593
2021-11-13,Female,35-49,848
2021-11-13,Female,>=80,50
2021-11-13,Male,<1,62
2021-07-06,Unknown,35-49,2
2021-11-13,Female,1-4,232
2021-11-13,Male,65-79,210
2021-11-14,Male,50-64,654
