LastReportDate,Sex,NZAgeGroup,Cases
2021-08-27,,20-34,2
2021-09-04,Female,5-19,325
2021-08-27,Female,<1,6
2021-09-04,Male,20-34,674
2021-04-06,Male,>=80,21
2021-09-04,Female,65-79,101
2021-09-04,Male,35-49,408
2021-09-03,Male,1-4,47
2021-09-04,Male,5-19,255
2021-09-04,Female,20-34,669
2021-09-03,Female,50-64,314
2021-09-03,Female,35-49,359
2021-08-29,,5-19,2
2021-08-31,Female,>=80,24
2021-08-31,Male,<1,16
2021-07-06,Unknown,35-49,2
2021-09-04,Male,65-79,138
2021-09-02,Female,1-4,62
2021-09-04,Male,50-64,343
