LastReportDate,Sex,NZAgeGroup,Cases
2021-10-11,Female,5-19,434
2021-10-09,Female,<1,15
2021-10-11,Male,20-34,796
2021-04-06,Male,>=80,21
2021-10-06,Unknown,5-19,1
2021-10-11,Female,65-79,112
2021-10-12,Male,35-49,506
2021-10-11,Male,1-4,88
2021-10-06,,50-64,1
2021-10-11,Male,5-19,391
2021-10-12,Female,20-34,814
2021-10-11,Female,50-64,366
2021-10-12,Female,35-49,453
2021-10-09,Female,>=80,26
2021-10-05,Male,<1,29
2021-07-06,Unknown,35-49,2
2021-10-05,Male,65-79,145
2021-10-12,Female,1-4,97
2021-10-11,Male,50-64,407
