LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-29,Unknown,20-34,2
2021-10-29,Female,5-19,593
2021-10-28,Female,<1,28
2021-10-29,Male,20-34,1052
2021-10-29,Male,>=80,23
2021-10-06,Unknown,5-19,1
2021-10-29,Female,65-79,127
2021-10-29,Male,35-49,698
2021-10-29,Male,1-4,143
2021-10-28,,50-64,1
2021-10-29,Male,5-19,550
2021-10-29,Female,20-34,1064
2021-10-29,Female,50-64,453
2021-10-29,Female,35-49,633
2021-10-28,Female,>=80,33
2021-10-28,Male,<1,46
2021-07-06,Unknown,35-49,2
2021-10-28,Male,65-79,169
2021-10-29,Female,1-4,149
2021-10-29,,Unknown,1
2021-10-29,Male,50-64,516
