LastReportDate,Sex,NZAgeGroup,Cases
2022-02-09,,20-34,3
2022-02-09,Unknown,20-34,14
2022-01-29,Female,Unknown,2
2022-02-10,Female,5-19,2277
2022-02-09,Unknown,65-79,1
2022-02-09,,35-49,3
2022-02-10,Female,<1,148
2022-02-10,Male,20-34,3009
2022-02-10,Male,>=80,52
2022-02-10,Unknown,5-19,11
2022-02-10,Female,65-79,354
2022-02-10,Male,35-49,1958
2022-02-10,Male,1-4,588
2022-01-12,Unknown,50-64,2
2022-02-01,,50-64,1
2022-02-10,Male,5-19,2260
2022-02-06,Male,Unknown,2
2022-02-10,Female,20-34,3099
2022-02-10,Female,50-64,1174
2022-02-10,Female,35-49,1860
2022-01-11,,5-19,2
2022-02-10,Female,>=80,80
2022-01-15,Unknown,1-4,4
2022-02-09,Male,<1,168
2022-01-15,Unknown,35-49,5
2022-02-10,Female,1-4,627
2022-02-10,Male,65-79,383
2022-02-09,,Unknown,4
2022-01-29,Unknown,<1,1
2022-02-10,Male,50-64,1222
