LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-14,Female,5-19,454
2021-10-15,Female,<1,17
2021-10-16,Male,20-34,822
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-15,Female,65-79,113
2021-10-15,Male,35-49,539
2021-10-15,Male,1-4,100
2021-10-15,Male,5-19,420
2021-10-16,Female,20-34,853
2021-10-15,Female,50-64,373
2021-10-15,Female,35-49,481
2021-10-13,Female,>=80,27
2021-10-15,Male,<1,31
2021-07-06,Unknown,35-49,2
2021-10-15,Male,65-79,149
2021-10-15,Female,1-4,106
2021-10-16,Male,50-64,428
