LastReportDate,Sex,NZAgeGroup,Cases
2021-12-02,Female,<1,87
2021-12-01,Male,<1,107
2021-11-30,Female,>=80,57
2021-11-25,Male,>=80,33
2021-12-01,Female,1-4,399
2021-12-02,Male,1-4,385
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-02,Female,20-34,1969
2021-12-02,Male,20-34,1894
2021-12-02,Unknown,20-34,12
2021-12-02,Female,35-49,1122
2021-12-02,Male,35-49,1216
2021-11-25,Unknown,35-49,4
2021-12-03,Female,5-19,1342
2021-12-02,Male,5-19,1363
2021-12-01,Unknown,5-19,5
2021-12-02,Female,50-64,738
2021-12-02,Male,50-64,786
2021-11-24,Unknown,50-64,1
2021-12-02,Female,65-79,212
2021-12-02,Male,65-79,254
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
