LastReportDate,Sex,NZAgeGroup,Cases
2021-11-25,Female,<1,77
2021-11-25,Male,<1,95
2021-11-25,Female,>=80,55
2021-11-25,Male,>=80,33
2021-11-25,Female,1-4,355
2021-11-25,Male,1-4,322
2021-11-14,Unknown,1-4,2
2021-11-16,,20-34,2
2021-11-25,Female,20-34,1812
2021-11-26,Male,20-34,1746
2021-11-19,Unknown,20-34,10
2021-11-25,Female,35-49,1047
2021-11-26,Male,35-49,1125
2021-11-25,Unknown,35-49,4
2021-11-25,Female,5-19,1194
2021-11-25,Male,5-19,1205
2021-11-21,Unknown,5-19,3
2021-11-25,Female,50-64,701
2021-11-25,Male,50-64,741
2021-11-24,Unknown,50-64,1
2021-11-25,Female,65-79,199
2021-11-25,Male,65-79,236
2021-11-14,,Unknown,1
2021-11-18,Unknown,Unknown,1
