LastReportDate,Sex,NZAgeGroup,Cases
2021-11-30,Female,<1,86
2021-11-30,Male,<1,106
2021-11-30,Female,>=80,57
2021-11-25,Male,>=80,33
2021-11-30,Female,1-4,392
2021-11-30,Male,1-4,373
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-11-30,Female,20-34,1928
2021-11-30,Male,20-34,1846
2021-11-28,Unknown,20-34,11
2021-11-30,Female,35-49,1103
2021-11-30,Male,35-49,1191
2021-11-25,Unknown,35-49,4
2021-11-30,Female,5-19,1301
2021-11-30,Male,5-19,1321
2021-11-26,Unknown,5-19,4
2021-11-30,Female,50-64,728
2021-11-30,Male,50-64,775
2021-11-24,Unknown,50-64,1
2021-11-29,Female,65-79,208
2021-11-30,Male,65-79,249
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
