LastReportDate,Sex,NZAgeGroup,Cases
2021-12-12,Female,<1,104
2021-12-14,Male,<1,123
2021-12-15,Female,>=80,62
2021-12-15,Male,>=80,37
2021-12-14,Female,1-4,442
2021-12-14,Male,1-4,431
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-15,Female,20-34,2134
2021-12-15,Male,20-34,2075
2021-12-08,Unknown,20-34,11
2021-12-15,Female,35-49,1208
2021-12-15,Male,35-49,1328
2021-11-25,Unknown,35-49,4
2021-12-15,Female,5-19,1503
2021-12-15,Male,5-19,1530
2021-12-01,Unknown,5-19,5
2021-12-14,Female,50-64,789
2021-12-14,Male,50-64,850
2021-11-24,Unknown,50-64,1
2021-12-14,Female,65-79,232
2021-12-13,Male,65-79,268
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
