LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-30,Unknown,20-34,3
2021-11-02,Female,5-19,657
2021-11-01,Female,<1,34
2021-11-02,Male,20-34,1123
2021-11-01,Male,>=80,27
2021-10-06,Unknown,5-19,1
2021-11-02,Female,65-79,135
2021-11-03,Male,35-49,765
2021-11-02,Male,1-4,158
2021-10-28,,50-64,1
2021-11-02,Male,5-19,613
2021-11-03,Female,20-34,1148
2021-11-02,Female,50-64,491
2021-11-02,Female,35-49,685
2021-11-03,Female,>=80,38
2021-10-31,Male,<1,50
2021-07-06,Unknown,35-49,2
2021-11-02,Male,65-79,182
2021-11-02,Female,1-4,167
2021-11-02,Male,50-64,551
