LastReportDate,Sex,NZAgeGroup,Cases
2021-12-11,Female,<1,101
2021-12-10,Male,<1,116
2021-12-09,Female,>=80,60
2021-12-10,Male,>=80,36
2021-12-11,Female,1-4,429
2021-12-11,Male,1-4,420
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-11,Female,20-34,2098
2021-12-11,Male,20-34,2035
2021-12-08,Unknown,20-34,13
2021-12-11,Female,35-49,1192
2021-12-11,Male,35-49,1303
2021-11-25,Unknown,35-49,4
2021-12-11,Female,5-19,1475
2021-12-11,Male,5-19,1479
2021-12-01,Unknown,5-19,5
2021-12-11,Female,50-64,776
2021-12-11,Male,50-64,839
2021-11-24,Unknown,50-64,1
2021-12-10,Female,65-79,230
2021-12-10,Male,65-79,266
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
