LastReportDate,Sex,NZAgeGroup,Cases
2022-02-09,,20-34,3
2022-02-09,Unknown,20-34,14
2022-01-29,Female,Unknown,2
2022-02-09,Female,5-19,2209
2022-02-05,,35-49,2
2022-02-09,Female,<1,144
2022-02-09,Male,20-34,2933
2022-02-08,Male,>=80,49
2022-02-09,Unknown,5-19,10
2022-02-09,Female,65-79,347
2022-02-09,Male,35-49,1914
2022-02-09,Male,1-4,585
2022-01-12,Unknown,50-64,2
2022-02-01,,50-64,1
2022-02-09,Male,5-19,2198
2022-02-06,Male,Unknown,2
2022-02-09,Female,20-34,3013
2022-02-09,Female,50-64,1138
2022-02-09,Female,35-49,1817
2022-01-11,,5-19,2
2022-02-08,Female,>=80,78
2022-01-15,Unknown,1-4,4
2022-02-08,Male,<1,166
2022-01-15,Unknown,35-49,5
2022-02-09,Female,1-4,618
2022-02-09,Male,65-79,381
2022-02-09,,Unknown,4
2022-01-29,Unknown,<1,1
2022-02-09,Male,50-64,1196
