LastReportDate,Sex,NZAgeGroup,Cases
2021-08-26,,20-34,1
2021-09-05,Female,5-19,326
2021-08-27,Female,<1,6
2021-09-06,Male,20-34,676
2021-04-06,Male,>=80,21
2021-09-04,Female,65-79,101
2021-09-05,Male,35-49,412
2021-09-03,Male,1-4,47
2021-09-06,Male,5-19,260
2021-09-06,Female,20-34,675
2021-09-03,Female,50-64,314
2021-09-05,Female,35-49,363
2021-08-29,,5-19,2
2021-08-31,Female,>=80,24
2021-08-31,Male,<1,16
2021-07-06,Unknown,35-49,2
2021-09-05,Male,65-79,139
2021-09-05,Female,1-4,63
2021-09-05,Male,50-64,344
