LastReportDate,Sex,NZAgeGroup,Cases
2021-11-12,,20-34,2
2021-11-13,Unknown,20-34,8
2021-11-15,Female,5-19,913
2021-11-14,Female,<1,45
2021-11-14,Male,20-34,1432
2021-11-13,Male,>=80,30
2021-10-06,Unknown,5-19,1
2021-11-13,Female,65-79,170
2021-11-14,Male,35-49,969
2021-11-14,Male,1-4,230
2021-11-15,Male,5-19,906
2021-11-14,Female,20-34,1472
2021-11-14,Female,50-64,599
2021-11-14,Female,35-49,860
2021-11-13,Female,>=80,50
2021-11-14,Unknown,1-4,2
2021-11-14,Male,<1,65
2021-07-06,Unknown,35-49,2
2021-11-14,Female,1-4,235
2021-11-14,Male,65-79,214
2021-11-14,,Unknown,1
2021-11-14,Male,50-64,661
