LastReportDate,Sex,NZAgeGroup,Cases
2021-11-12,,20-34,2
2021-11-13,Unknown,20-34,8
2021-11-15,Female,5-19,944
2021-11-15,Female,<1,49
2021-11-15,Male,20-34,1459
2021-11-14,Male,>=80,31
2021-10-06,Unknown,5-19,1
2021-11-15,Female,65-79,176
2021-11-15,Male,35-49,982
2021-11-15,Male,1-4,239
2021-11-15,Male,5-19,937
2021-11-15,Female,20-34,1510
2021-11-15,Female,50-64,612
2021-11-15,Female,35-49,884
2021-11-13,Female,>=80,50
2021-11-14,Unknown,1-4,2
2021-11-15,Male,<1,68
2021-07-06,Unknown,35-49,2
2021-11-14,Male,65-79,214
2021-11-15,Female,1-4,247
2021-11-14,,Unknown,1
2021-11-16,Male,50-64,670
