LastReportDate,Sex,NZAgeGroup,Cases
2021-11-30,Female,<1,86
2021-12-01,Male,<1,107
2021-11-30,Female,>=80,57
2021-11-25,Male,>=80,33
2021-12-01,Female,1-4,399
2021-12-02,Male,1-4,383
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-02,Female,20-34,1948
2021-12-02,Male,20-34,1879
2021-11-28,Unknown,20-34,11
2021-12-02,Female,35-49,1116
2021-12-02,Male,35-49,1202
2021-11-25,Unknown,35-49,4
2021-12-02,Female,5-19,1328
2021-12-01,Male,5-19,1353
2021-12-01,Unknown,5-19,5
2021-12-02,Female,50-64,733
2021-12-01,Male,50-64,780
2021-11-24,Unknown,50-64,1
2021-12-01,Female,65-79,211
2021-12-01,Male,65-79,253
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
