LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-30,Unknown,20-34,3
2021-11-01,Female,5-19,643
2021-11-01,Female,<1,34
2021-11-01,Male,20-34,1109
2021-11-01,Male,>=80,27
2021-10-06,Unknown,5-19,1
2021-10-31,Female,65-79,132
2021-11-01,Male,35-49,758
2021-11-01,Male,1-4,155
2021-10-28,,50-64,1
2021-11-01,Male,5-19,599
2021-11-01,Female,20-34,1136
2021-11-01,Female,50-64,483
2021-11-01,Female,35-49,668
2021-10-30,Female,>=80,37
2021-10-31,Male,<1,50
2021-07-06,Unknown,35-49,2
2021-11-01,Male,65-79,178
2021-11-01,Female,1-4,161
2021-11-01,Male,50-64,545
