LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-27,Female,5-19,557
2021-10-25,Female,<1,27
2021-10-27,Male,20-34,1001
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-25,Female,65-79,124
2021-10-27,Male,35-49,662
2021-10-27,Male,1-4,130
2021-10-27,Male,5-19,527
2021-10-27,Female,20-34,1030
2021-10-27,Female,50-64,433
2021-10-27,Female,35-49,601
2021-10-26,Female,>=80,31
2021-10-27,Male,<1,44
2021-07-06,Unknown,35-49,2
2021-10-26,Male,65-79,167
2021-10-27,Female,1-4,137
2021-10-27,Male,50-64,498
