LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-07,Female,5-19,746
2021-11-05,Female,<1,38
2021-11-07,Male,20-34,1249
2021-11-06,Male,>=80,28
2021-10-06,Unknown,5-19,1
2021-11-07,Female,65-79,147
2021-11-07,Male,35-49,853
2021-11-07,Male,1-4,183
2021-11-07,Male,5-19,721
2021-11-08,Female,20-34,1278
2021-11-07,Female,50-64,536
2021-11-07,Female,35-49,767
2021-11-07,Female,>=80,45
2021-11-07,Male,<1,54
2021-07-06,Unknown,35-49,2
2021-11-07,Female,1-4,197
2021-11-07,Male,65-79,197
2021-11-07,Male,50-64,601
