LastReportDate,Sex,NZAgeGroup,Cases
2021-11-26,Female,<1,78
2021-11-25,Male,<1,95
2021-11-25,Female,>=80,55
2021-11-25,Male,>=80,33
2021-11-26,Female,1-4,362
2021-11-26,Male,1-4,335
2021-11-14,Unknown,1-4,2
2021-11-16,,20-34,2
2021-11-26,Female,20-34,1835
2021-11-26,Male,20-34,1771
2021-11-19,Unknown,20-34,10
2021-11-26,Female,35-49,1060
2021-11-26,Male,35-49,1135
2021-11-25,Unknown,35-49,4
2021-11-26,Female,5-19,1208
2021-11-26,Male,5-19,1233
2021-11-26,Unknown,5-19,4
2021-11-26,Female,50-64,703
2021-11-26,Male,50-64,747
2021-11-24,Unknown,50-64,1
2021-11-26,Female,65-79,203
2021-11-25,Male,65-79,237
2021-11-14,,Unknown,1
2021-11-18,Unknown,Unknown,1
