LastReportDate,Sex,NZAgeGroup,Cases
2021-09-14,,20-34,1
2021-09-18,Female,5-19,371
2021-09-13,Female,<1,8
2021-09-18,Male,20-34,717
2021-04-06,Male,>=80,21
2021-09-18,Female,65-79,105
2021-09-18,Male,35-49,428
2021-09-18,Male,1-4,61
2021-09-19,Male,5-19,308
2021-09-19,Female,20-34,712
2021-09-18,Female,50-64,327
2021-09-18,Female,35-49,378
2021-09-16,,5-19,1
2021-08-31,Female,>=80,24
2021-09-16,Male,<1,21
2021-07-06,Unknown,35-49,2
2021-09-18,Female,1-4,79
2021-09-16,Male,65-79,141
2021-09-18,,Unknown,1
2021-09-18,Male,50-64,354
