LastReportDate,Sex,NZAgeGroup,Cases
2021-10-22,,20-34,2
2021-10-23,Female,5-19,529
2021-10-23,Female,<1,22
2021-10-23,Male,20-34,937
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-22,Female,65-79,123
2021-10-23,Male,35-49,627
2021-10-23,Male,1-4,123
2021-10-23,Male,5-19,492
2021-10-23,Female,20-34,972
2021-10-23,Female,50-64,408
2021-10-23,Female,35-49,555
2021-10-23,Female,>=80,30
2021-10-23,Male,<1,41
2021-07-06,Unknown,35-49,2
2021-10-23,Female,1-4,127
2021-10-22,Male,65-79,162
2021-10-23,Male,50-64,463
