LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-06,Female,5-19,728
2021-11-05,Female,<1,38
2021-11-06,Male,20-34,1230
2021-11-06,Male,>=80,28
2021-10-06,Unknown,5-19,1
2021-11-06,Female,65-79,146
2021-11-06,Male,35-49,834
2021-11-06,Male,1-4,180
2021-11-06,Male,5-19,688
2021-11-06,Female,20-34,1246
2021-11-06,Female,50-64,525
2021-11-06,Female,35-49,743
2021-11-06,Female,>=80,44
2021-11-06,Male,<1,52
2021-07-06,Unknown,35-49,2
2021-11-06,Female,1-4,187
2021-11-06,Male,65-79,194
2021-11-06,Male,50-64,585
