LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-14,Female,5-19,454
2021-10-13,Female,<1,16
2021-10-14,Male,20-34,812
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-11,Female,65-79,112
2021-10-14,Male,35-49,536
2021-10-14,Male,1-4,99
2021-10-14,Male,5-19,418
2021-10-14,Female,20-34,845
2021-10-14,Female,50-64,371
2021-10-14,Female,35-49,478
2021-10-13,Female,>=80,27
2021-10-13,Male,<1,30
2021-07-06,Unknown,35-49,2
2021-10-14,Female,1-4,105
2021-10-14,Male,65-79,148
2021-10-14,Male,50-64,420
