LastReportDate,Sex,NZAgeGroup,Cases
2021-10-07,Female,5-19,421
2021-10-06,Female,<1,14
2021-10-08,Male,20-34,781
2021-04-06,Male,>=80,21
2021-10-06,Unknown,5-19,1
2021-10-07,Female,65-79,109
2021-10-07,Male,35-49,477
2021-10-07,Male,1-4,78
2021-10-06,,50-64,1
2021-10-07,Male,5-19,373
2021-10-07,Female,20-34,783
2021-10-07,Female,50-64,355
2021-10-07,Female,35-49,430
2021-09-29,Female,>=80,25
2021-10-05,Male,<1,29
2021-07-06,Unknown,35-49,2
2021-10-05,Male,65-79,145
2021-10-07,Female,1-4,91
2021-10-08,Male,50-64,391
