LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-06,Female,5-19,717
2021-11-05,Female,<1,38
2021-11-06,Male,20-34,1211
2021-11-01,Male,>=80,27
2021-10-06,Unknown,5-19,1
2021-11-06,Female,65-79,146
2021-11-06,Male,35-49,820
2021-11-05,Male,1-4,176
2021-11-05,Male,5-19,666
2021-11-06,Female,20-34,1231
2021-11-05,Female,50-64,521
2021-11-05,Female,35-49,732
2021-11-05,Female,>=80,43
2021-11-04,Male,<1,51
2021-07-06,Unknown,35-49,2
2021-11-05,Male,65-79,191
2021-11-05,Female,1-4,184
2021-11-05,Male,50-64,580
