LastReportDate,Sex,NZAgeGroup,Cases
2021-12-10,Female,<1,100
2021-12-10,Male,<1,116
2021-12-09,Female,>=80,60
2021-12-09,Male,>=80,35
2021-12-10,Female,1-4,423
2021-12-10,Male,1-4,416
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-10,Female,20-34,2087
2021-12-10,Male,20-34,2025
2021-12-08,Unknown,20-34,13
2021-12-10,Female,35-49,1182
2021-12-10,Male,35-49,1290
2021-11-25,Unknown,35-49,4
2021-12-11,Female,5-19,1460
2021-12-10,Male,5-19,1460
2021-12-01,Unknown,5-19,5
2021-12-10,Female,50-64,771
2021-12-10,Male,50-64,833
2021-11-24,Unknown,50-64,1
2021-12-09,Female,65-79,228
2021-12-10,Male,65-79,266
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
