LastReportDate,Sex,NZAgeGroup,Cases
2021-10-22,,20-34,2
2021-10-27,Female,5-19,552
2021-10-25,Female,<1,27
2021-10-27,Male,20-34,976
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-25,Female,65-79,124
2021-10-26,Male,35-49,653
2021-10-26,Male,1-4,128
2021-10-26,Male,5-19,515
2021-10-26,Female,20-34,1015
2021-10-26,Female,50-64,426
2021-10-26,Female,35-49,593
2021-10-23,Female,>=80,30
2021-10-24,Male,<1,43
2021-07-06,Unknown,35-49,2
2021-10-26,Male,65-79,166
2021-10-25,Female,1-4,134
2021-10-26,Male,50-64,490
