LastReportDate,Sex,NZAgeGroup,Cases
2021-11-29,Female,<1,84
2021-11-29,Male,<1,102
2021-11-28,Female,>=80,56
2021-11-25,Male,>=80,33
2021-11-29,Female,1-4,384
2021-11-29,Male,1-4,368
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-11-30,Female,20-34,1909
2021-11-29,Male,20-34,1820
2021-11-28,Unknown,20-34,11
2021-11-29,Female,35-49,1094
2021-11-29,Male,35-49,1179
2021-11-25,Unknown,35-49,4
2021-11-29,Female,5-19,1275
2021-11-29,Male,5-19,1302
2021-11-26,Unknown,5-19,4
2021-11-29,Female,50-64,722
2021-11-29,Male,50-64,771
2021-11-24,Unknown,50-64,1
2021-11-29,Female,65-79,207
2021-11-28,Male,65-79,244
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
