LastReportDate,Sex,NZAgeGroup,Cases
2021-09-24,,20-34,1
2021-09-25,Female,5-19,383
2021-09-19,,35-49,1
2021-09-13,Female,<1,8
2021-09-25,Male,20-34,727
2021-04-06,Male,>=80,21
2021-09-22,Female,65-79,108
2021-09-25,Male,35-49,443
2021-09-25,Male,1-4,64
2021-09-25,Male,5-19,336
2021-09-25,Female,20-34,732
2021-09-25,Female,50-64,335
2021-09-25,Female,35-49,389
2021-08-31,Female,>=80,24
2021-09-22,Male,<1,23
2021-07-06,Unknown,35-49,2
2021-09-22,Female,1-4,82
2021-09-25,Male,65-79,142
2021-09-26,,Unknown,1
2021-09-25,Male,50-64,361
