LastReportDate,Sex,NZAgeGroup,Cases
2021-11-27,Female,<1,82
2021-11-28,Male,<1,100
2021-11-28,Female,>=80,56
2021-11-25,Male,>=80,33
2021-11-28,Female,1-4,377
2021-11-28,Male,1-4,356
2021-11-14,Unknown,1-4,2
2021-11-16,,20-34,2
2021-11-28,Female,20-34,1882
2021-11-28,Male,20-34,1808
2021-11-19,Unknown,20-34,10
2021-11-29,Female,35-49,1087
2021-11-28,Male,35-49,1168
2021-11-25,Unknown,35-49,4
2021-11-28,Female,5-19,1253
2021-11-28,Male,5-19,1289
2021-11-26,Unknown,5-19,4
2021-11-28,Female,50-64,716
2021-11-28,Male,50-64,766
2021-11-24,Unknown,50-64,1
2021-11-28,Female,65-79,205
2021-11-28,Male,65-79,243
2021-11-18,Unknown,Unknown,1
