LastReportDate,Sex,NZAgeGroup,Cases
2021-12-07,Female,<1,97
2021-12-07,Male,<1,114
2021-12-07,Female,>=80,59
2021-12-08,Male,>=80,34
2021-12-08,Female,1-4,419
2021-12-08,Male,1-4,412
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-08,Female,20-34,2055
2021-12-08,Male,20-34,1999
2021-12-08,Unknown,20-34,13
2021-12-08,Female,35-49,1174
2021-12-08,Male,35-49,1277
2021-11-25,Unknown,35-49,4
2021-12-08,Female,5-19,1434
2021-12-08,Male,5-19,1445
2021-12-01,Unknown,5-19,5
2021-12-09,Female,50-64,767
2021-12-08,Male,50-64,820
2021-11-24,Unknown,50-64,1
2021-12-08,Female,65-79,223
2021-12-08,Male,65-79,263
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
