LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-17,Female,5-19,462
2021-10-17,Female,<1,18
2021-10-17,Male,20-34,844
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-15,Female,65-79,113
2021-10-17,Male,35-49,549
2021-10-17,Male,1-4,104
2021-10-16,,50-64,1
2021-10-17,Male,5-19,432
2021-10-17,Female,20-34,876
2021-10-17,Female,50-64,379
2021-10-17,Female,35-49,502
2021-10-13,Female,>=80,27
2021-10-17,Male,<1,33
2021-07-06,Unknown,35-49,2
2021-10-15,Female,1-4,107
2021-10-17,Male,65-79,151
2021-10-16,Male,50-64,431
