LastReportDate,Sex,NZAgeGroup,Cases
2021-08-27,,20-34,2
2021-08-28,Female,5-19,274
2021-08-27,Female,<1,6
2021-08-28,Male,20-34,625
2021-04-06,Male,>=80,21
2021-08-28,Female,65-79,98
2021-08-29,Male,35-49,387
2021-08-28,Male,1-4,40
2021-08-28,,50-64,2
2021-08-28,Male,5-19,199
2021-08-29,Female,20-34,618
2021-08-28,Female,50-64,290
2021-08-28,Female,35-49,344
2021-08-26,,5-19,1
2021-08-19,Female,>=80,23
2021-08-24,Male,<1,13
2021-07-06,Unknown,35-49,2
2021-08-28,Male,65-79,137
2021-08-28,Female,1-4,53
2021-08-29,,Unknown,2
2021-08-28,Male,50-64,327
