LastReportDate,Sex,NZAgeGroup,Cases
2021-11-16,,20-34,2
2021-11-19,Unknown,20-34,10
2021-11-20,Female,5-19,1059
2021-11-20,Female,<1,60
2021-11-20,Male,20-34,1596
2021-11-16,Male,>=80,32
2021-11-17,Unknown,5-19,2
2021-11-20,Female,65-79,185
2021-11-20,Male,35-49,1047
2021-11-20,Male,1-4,269
2021-11-20,Male,5-19,1071
2021-11-20,Female,20-34,1650
2021-11-20,Female,50-64,653
2021-11-20,Female,35-49,969
2021-11-19,Female,>=80,52
2021-11-14,Unknown,1-4,2
2021-11-19,Male,<1,81
2021-11-17,Unknown,35-49,3
2021-11-20,Female,1-4,290
2021-11-19,Male,65-79,226
2021-11-19,,Unknown,2
2021-11-18,Unknown,Unknown,1
2021-11-20,Male,50-64,711
