LastReportDate,Sex,NZAgeGroup,Cases
2021-12-12,Female,<1,104
2021-12-13,Male,<1,121
2021-12-12,Female,>=80,61
2021-12-10,Male,>=80,36
2021-12-13,Female,1-4,439
2021-12-14,Male,1-4,429
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-14,Female,20-34,2125
2021-12-13,Male,20-34,2063
2021-12-08,Unknown,20-34,11
2021-12-14,Female,35-49,1201
2021-12-14,Male,35-49,1318
2021-11-25,Unknown,35-49,4
2021-12-13,Female,5-19,1494
2021-12-14,Male,5-19,1517
2021-12-01,Unknown,5-19,5
2021-12-14,Female,50-64,786
2021-12-13,Male,50-64,846
2021-11-24,Unknown,50-64,1
2021-12-12,Female,65-79,231
2021-12-13,Male,65-79,268
2021-12-13,Female,Unknown,1
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
