LastReportDate,Sex,NZAgeGroup,Cases
2022-01-16,,20-34,2
2022-02-09,Unknown,20-34,14
2022-01-29,Female,Unknown,2
2022-02-11,Female,5-19,2336
2022-02-09,Unknown,65-79,1
2022-02-09,,35-49,3
2022-02-11,Female,<1,150
2022-02-11,Male,20-34,3094
2022-02-11,Male,>=80,53
2022-02-10,Unknown,5-19,11
2022-02-11,Female,65-79,358
2022-02-11,Male,35-49,2007
2022-02-11,Male,1-4,597
2022-01-12,Unknown,50-64,2
2022-02-01,,50-64,1
2022-02-11,Male,5-19,2306
2022-02-06,Male,Unknown,2
2022-02-11,Female,20-34,3178
2022-02-11,Female,50-64,1200
2022-02-11,Female,35-49,1927
2022-01-11,,5-19,2
2022-02-11,Female,>=80,82
2022-01-15,Unknown,1-4,4
2022-02-11,Male,<1,172
2022-01-15,Unknown,35-49,5
2022-02-11,Male,65-79,385
2022-02-11,Female,1-4,635
2022-02-10,,Unknown,5
2022-01-29,Unknown,<1,1
2022-02-11,Male,50-64,1243
