LastReportDate,Sex,NZAgeGroup,Cases
2021-11-23,Female,<1,73
2021-11-23,Male,<1,90
2021-11-23,Female,>=80,54
2021-11-16,Male,>=80,32
2021-11-22,,1-4,2
2021-11-24,Female,1-4,331
2021-11-23,Male,1-4,308
2021-11-14,Unknown,1-4,2
2021-11-22,,20-34,3
2021-11-23,Female,20-34,1756
2021-11-24,Male,20-34,1693
2021-11-19,Unknown,20-34,10
2021-11-24,Female,35-49,1015
2021-11-23,Male,35-49,1091
2021-11-17,Unknown,35-49,3
2021-11-23,Female,5-19,1143
2021-11-24,Male,5-19,1157
2021-11-21,Unknown,5-19,3
2021-11-23,Female,50-64,683
2021-11-23,Male,50-64,731
2021-11-23,Female,65-79,195
2021-11-22,Male,65-79,232
2021-11-23,,Unknown,2
2021-11-18,Unknown,Unknown,1
