LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-19,Female,5-19,481
2021-10-18,Female,<1,19
2021-10-20,Male,20-34,869
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-20,Female,65-79,118
2021-10-20,Male,35-49,572
2021-10-18,Male,1-4,107
2021-10-16,,50-64,1
2021-10-19,Male,5-19,443
2021-10-19,Female,20-34,905
2021-10-19,Female,50-64,387
2021-10-20,Female,35-49,515
2021-10-13,Female,>=80,27
2021-10-17,Male,<1,34
2021-07-06,Unknown,35-49,2
2021-10-19,Male,65-79,155
2021-10-20,Female,1-4,114
2021-10-19,Male,50-64,440
