LastReportDate,Sex,NZAgeGroup,Cases
2021-10-22,,20-34,2
2021-10-25,Female,5-19,544
2021-10-25,Female,<1,27
2021-10-25,Male,20-34,968
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-22,Female,65-79,123
2021-10-26,Male,35-49,643
2021-10-25,Male,1-4,126
2021-10-26,Male,5-19,510
2021-10-25,Female,20-34,996
2021-10-25,Female,50-64,423
2021-10-25,Female,35-49,582
2021-10-23,Female,>=80,30
2021-10-24,Male,<1,43
2021-07-06,Unknown,35-49,2
2021-10-25,Female,1-4,133
2021-10-25,Male,65-79,164
2021-10-25,Male,50-64,483
