LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-30,Unknown,20-34,3
2021-10-31,Female,5-19,633
2021-10-31,Female,<1,33
2021-10-31,Male,20-34,1086
2021-10-30,Male,>=80,26
2021-10-06,Unknown,5-19,1
2021-10-31,Female,65-79,132
2021-11-01,Male,35-49,737
2021-10-31,Male,1-4,152
2021-10-28,,50-64,1
2021-10-31,Male,5-19,586
2021-10-31,Female,20-34,1114
2021-10-31,Female,50-64,473
2021-10-31,Female,35-49,659
2021-10-30,Female,>=80,37
2021-10-31,Male,<1,49
2021-07-06,Unknown,35-49,2
2021-11-01,Female,1-4,158
2021-10-30,Male,65-79,174
2021-10-31,Male,50-64,537
